
2025-11-27 10:14:10,409 [1] [INFO ] [CyberServer] ：[数据库] 尝试连接
2025-11-27 10:14:11,380 [1] [INFO ] [CyberServer] ：[数据库] 连接成功
2025-11-27 10:14:11,386 [1] [INFO ] [NetManager] ：[服务器] 启动成功
2025-11-27 12:39:03,180 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:52251
2025-11-27 12:39:06,885 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:52251
2025-11-27 12:39:09,977 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:52251
2025-11-27 12:39:26,239 [1] [WARN ] [NetManager] ：[服务器] 用户下线，客户端关闭: 127.0.0.1:52251
2025-11-27 12:39:33,311 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:52257
2025-11-27 12:39:36,105 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:52257
2025-11-27 12:39:37,974 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:52257
2025-11-27 12:40:55,122 [1] [WARN ] [NetManager] ：[服务器] 用户下线，客户端关闭: 127.0.0.1:52257
2025-11-27 12:41:17,982 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:52283
2025-11-27 12:41:20,943 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:52283
2025-11-27 12:41:22,929 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:52283
2025-11-27 12:42:14,885 [1] [WARN ] [NetManager] ：[服务器] 用户下线，客户端关闭: 127.0.0.1:52283
2025-11-27 12:42:22,607 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:52298
2025-11-27 12:42:25,146 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:52298
2025-11-27 12:42:42,982 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:52298
2025-11-27 12:42:47,240 [1] [WARN ] [NetManager] ：[服务器] 用户下线，客户端关闭: 127.0.0.1:52298
2025-11-27 12:42:57,562 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:52306
2025-11-27 12:43:00,606 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:52306
2025-11-27 12:43:45,980 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:52306
2025-11-27 12:44:58,500 [1] [ERROR] [NetManager] ：[服务器] Ping Close 127.0.0.1:52306
2025-11-27 12:48:22,528 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:52428
2025-11-27 12:48:25,380 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:52428
2025-11-27 12:50:23,500 [1] [ERROR] [NetManager] ：[服务器] Ping Close 127.0.0.1:52428
2025-11-27 12:52:55,645 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:52532
2025-11-27 12:52:58,306 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:52532
2025-11-27 12:53:56,134 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:52532
2025-11-27 12:54:56,501 [1] [ERROR] [NetManager] ：[服务器] Ping Close 127.0.0.1:52532
2025-11-27 14:17:54,642 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:53672
2025-11-27 14:18:02,003 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:53672
2025-11-27 14:18:04,012 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:53672
2025-11-27 14:19:55,500 [1] [ERROR] [NetManager] ：[服务器] Ping Close 127.0.0.1:53672
2025-11-27 14:20:24,181 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:53732
2025-11-27 14:20:26,724 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:53732
2025-11-27 14:20:28,701 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:53732
2025-11-27 14:22:24,500 [1] [ERROR] [NetManager] ：[服务器] Ping Close 127.0.0.1:53732
2025-11-27 14:50:46,823 [1] [INFO ] [NetManager] ：[服务器] 接收到用户连接: 127.0.0.1:54485
2025-11-27 14:50:50,564 [1] [INFO ] [NetManager] ：[服务器] 用户登录成功, 127.0.0.1:54485
2025-11-27 14:50:53,571 [1] [INFO ] [NetManager] ：[服务器] 用户信息获取成功, 127.0.0.1:54485
2025-11-27 14:52:47,500 [1] [ERROR] [NetManager] ：[服务器] Ping Close 127.0.0.1:54485
